NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02,Temp_M03,EC_M03,source
0.3,70.0,3,70.0,6843.0,228.0,6994.0,763.0,6318.0,692.0,csv_heatplate
0.3,70.0,4,70.0,6871.0,641.0,6916.0,679.0,,,excel
0.3,70.0,4,70.0,6851.0,228.0,7024.0,749.0,6916.0,679.0,csv_heatplate
0.3,70.0,5,71.0,7130.0,626.0,7196.0,500.0,,,excel
0.3,70.0,5,70.0,6900.0,232.0,6994.0,757.0,7196.0,500.0,csv_heatplate
0.3,80.0,1,80.0,7928.0,727.0,7240.0,727.0,,,excel
0.3,80.0,1,80.0,7967.0,242.0,8210.0,875.0,7240.0,727.0,csv_heatplate
0.3,80.0,2,80.0,7928.0,788.0,7009.0,741.0,,,excel
0.3,80.0,2,80.0,8105.0,240.0,8052.0,872.0,7009.0,741.0,csv_heatplate
0.3,80.0,3,80.0,8182.0,800.0,7787.0,935.0,,,excel
0.3,80.0,3,80.0,8025.0,239.0,8084.0,872.0,7787.0,935.0,csv_heatplate
0.3,80.0,4,83.0,8451.0,795.0,7501.0,935.0,,,excel
0.3,80.0,4,80.0,7939.0,237.0,7961.0,869.0,7501.0,935.0,csv_heatplate
0.3,80.0,5,83.0,8538.0,783.0,6914.0,954.0,,,excel
0.3,80.0,5,80.0,8062.0,239.0,7968.0,869.0,6914.0,954.0,csv_heatplate
0.4,25.0,1,25.0,2434.0,463.0,2451.0,524.0,,,excel
0.4,25.0,1,25.0,2335.0,180.0,2503.0,500.0,2451.0,524.0,csv_heatplate
0.4,25.0,2,24.0,2391.0,468.0,2461.0,532.0,,,excel
0.4,25.0,2,25.0,2297.0,181.0,2396.0,493.0,2461.0,532.0,csv_heatplate
0.4,25.0,3,24.0,2417.0,470.0,2444.0,522.0,,,excel
0.4,25.0,3,25.0,2364.0,183.0,2386.0,495.0,2444.0,522.0,csv_heatplate
0.4,25.0,4,24.0,2389.0,468.0,2410.0,529.0,,,excel
0.4,25.0,4,25.0,2388.0,182.0,2372.0,496.0,2410.0,529.0,csv_heatplate
0.4,25.0,5,24.0,2389.0,462.0,2264.0,524.0,,,excel
0.4,25.0,5,25.0,2269.0,179.0,2372.0,495.0,2264.0,524.0,csv_heatplate
0.4,30.0,1,32.0,3164.0,579.0,3169.0,591.0,,,excel
0.4,30.0,1,30.0,2901.0,197.0,2951.0,553.0,3169.0,591.0,csv_heatplate
0.4,30.0,2,31.0,3190.0,581.0,3148.0,591.0,,,excel
0.4,30.0,2,30.0,2959.0,198.0,3073.0,551.0,3148.0,591.0,csv_heatplate
0.4,30.0,3,32.0,3177.0,579.0,2881.0,577.0,,,excel
0.4,30.0,3,30.0,2923.0,198.0,3091.0,548.0,2881.0,577.0,csv_heatplate
0.4,30.0,4,31.0,3153.0,576.0,3130.0,588.0,,,excel
0.4,30.0,4,30.0,3020.0,198.0,3109.0,544.0,3130.0,588.0,csv_heatplate
0.4,30.0,5,31.0,3050.0,575.0,3027.0,519.0,,,excel
0.4,30.0,5,30.0,2949.0,196.0,3050.0,548.0,3027.0,519.0,csv_heatplate
0.4,40.0,1,39.0,,,3880.0,614.0,,,excel
0.4,40.0,1,40.0,3778.0,216.0,3987.0,629.0,3880.0,614.0,csv_heatplate
0.4,40.0,2,39.0,,,3862.0,645.0,,,excel
0.4,40.0,2,40.0,3833.0,223.0,4036.0,621.0,3862.0,645.0,csv_heatplate
0.4,40.0,3,39.0,,,3769.0,646.0,,,excel
0.4,40.0,3,40.0,3758.0,220.0,4022.0,624.0,3769.0,646.0,csv_heatplate
0.4,40.0,4,39.0,,,3375.0,647.0,,,excel
0.4,40.0,4,40.0,3781.0,222.0,4066.0,622.0,3375.0,647.0,csv_heatplate
0.4,40.0,5,39.0,,,3585.0,626.0,,,excel
0.4,40.0,5,40.0,3862.0,221.0,4044.0,624.0,3585.0,626.0,csv_heatplate
0.4,50.0,1,50.0,,,5037.0,738.0,,,excel
0.4,50.0,1,50.0,4857.0,247.0,5174.0,707.0,5037.0,738.0,csv_heatplate
0.4,50.0,2,51.0,,,4955.0,739.0,,,excel
0.4,50.0,2,50.0,4954.0,249.0,5266.0,704.0,4955.0,739.0,csv_heatplate
0.4,50.0,3,50.0,,,5041.0,740.0,,,excel
0.4,50.0,3,50.0,4915.0,248.0,5166.0,709.0,5041.0,740.0,csv_heatplate
0.4,50.0,4,50.0,,,5037.0,706.0,,,excel
0.4,50.0,4,50.0,5105.0,249.0,5191.0,702.0,5037.0,706.0,csv_heatplate
0.4,50.0,5,50.0,,,4921.0,738.0,,,excel
0.4,50.0,5,50.0,5021.0,249.0,5182.0,707.0,4921.0,738.0,csv_heatplate
