NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
1.2,40,5,41,,,4088,1148.0
1.2,50,1,51,,,5101,1200.0
1.2,50,2,51,,,5162,1213.0
1.2,50,3,52,,,5191,1203.0
1.2,50,4,52,,,5195,1219.0
1.2,50,5,52,,,5215,1217.0
1.2,60,1,62,,,6097,1264.0
1.2,60,2,63,,,6354,1228.0
1.2,60,3,63,,,6341,1279.0
1.2,60,4,64,,,6318,1279.0
1.2,60,5,64,,,6450,1287.0
1.2,70,1,72,,,7240,1315.0
1.2,70,2,72,,,7305,1311.0
1.2,70,3,72,,,6487,1308.0
1.2,70,4,72,,,6965,1316.0
1.2,70,5,72,,,7289,1300.0
1.2,80,1,81,,,7906,1316.0
1.2,80,2,81,,,8138,1331.0
1.2,80,3,81,,,8216,1354.0
1.2,80,4,82,,,8296,1335.0
1.2,80,5,82,,,8343,1333.0
1.3,25,1,24,,,2257,1010.0
1.3,25,2,24,,,2377,1014.0
1.3,25,3,24,,,2377,1018.0
1.3,25,4,24,,,2340,1009.0
1.3,25,5,24,,,2352,1005.0
1.3,30,1,36,,,2761,1129.0
1.3,30,2,37,,,3213,1134.0
1.3,30,3,38,,,3337,1121.0
1.3,30,4,38,,,3423,1135.0
1.3,30,5,38,,,3372,1134.0
1.3,40,1,43,,,3729,1182.0
1.3,40,2,43,,,3541,1181.0
1.3,40,3,43,,,3672,1159.0
1.3,40,4,43,,,3697,1158.0
1.3,40,5,43,,,3697,1169.0
1.3,50,1,55,,,4119,1238.0
1.3,50,2,56,,,4642,1230.0
1.3,50,3,56,,,4710,1240.0
1.3,50,4,56,,,4842,1237.0
1.3,50,5,56,,,4688,1241.0
1.3,60,1,61,,,4382,1256.0
1.3,60,2,61,,,4823,1274.0
1.3,60,3,61,,,5228,1266.0
1.3,60,4,62,,,5390,1265.0
1.3,60,5,62,,,5351,1264.0
1.3,70,1,73,,,6437,1340.0
1.3,70,2,76,,,6646,1345.0
1.3,70,3,76,,,6673,1349.0
1.3,70,4,76,,,6878,1343.0
1.3,70,5,76,,,7046,1336.0
1.3,80,1,80,,,6726,1385.0
1.3,80,2,80,,,7099,1373.0
1.3,80,3,81,,,7397,1354.0
1.3,80,4,81,,,7248,1344.0
1.3,80,5,81,,,7208,1350.0
1.4,25,1,24,,,2281,1049.0
1.4,25,2,24,,,2221,986.0
1.4,25,3,24,,,2278,1045.0
1.4,25,4,24,,,2295,1050.0
1.4,25,5,24,,,231,1055.0
1.4,30,1,37,,,3311,1169.0
1.4,30,2,38,,,3557,1181.0
1.4,30,3,38,,,3513,1172.0
1.4,30,4,38,,,3552,1178.0
1.4,30,5,38,,,3585,1170.0
1.4,40,1,41,,,3758,1216.0
1.4,40,2,41,,,4024,1199.0
1.4,40,3,42,,,4073,1215.0
1.4,40,4,43,,,4160,1217.0
1.4,40,5,43,,,4175,1217.0
1.4,50,1,51,,,4921,1237.0
1.4,50,2,52,,,5010,1245.0
1.4,50,3,52,,,5125,1255.0
1.4,50,4,52,,,5006,1281.0
1.4,50,5,52,,,5049,1266.0
1.4,60,1,63,,,6146,1305.0
1.4,60,2,64,,,6197,1342.0
1.4,60,3,64,,,6048,1298.0
1.4,60,4,64,,,6130,1341.0
1.4,60,5,64,,,6146,1288.0
1.4,70,1,73,,,6021,1352.0
1.4,70,2,73,,,6857,1386.0
1.4,70,3,73,,,6324,1359.0
1.4,70,4,74,,,6850,1379.0
1.4,70,5,74,,,6950,1372.0
1.4,80,1,81,,,7256,1406.0
1.4,80,2,84,,,7787,1388.0
1.4,80,3,84,,,7720,1377.0
1.4,80,4,84,,,8160,1345.0
1.4,80,5,84,,,7654,1345.0
