EC_M01,EC_M02,EC_M03,EC_25C_M01,EC_25C_M02,EC_25C_M03,Temp_M01_C,Temp_M02_C,Temp_M03_C,Mercury_Temp,EC_TrueTemp_M01,EC_TrueTemp_M02,EC_TrueTemp_M03,Temp_Error_M01,Temp_Error_M02,Temp_Error_M03
197.0,553.0,591.0,179.09090909090907,502.7272727272727,537.2727272727273,29.01,29.51,31.69,30.0,5372.727272727272,15081.81818181818,16118.181818181818,-0.9899999999999984,-0.48999999999999844,1.6900000000000013
348.0,1036.0,1125.0,183.1578947368421,545.2631578947369,592.1052631578948,68.36,69.21,62.88,70.0,12821.052631578948,38168.42105263158,41447.36842105263,-1.6400000000000006,-0.7900000000000063,-7.119999999999997
307.0,840.0,899.0,279.09090909090907,763.6363636363636,817.2727272727273,29.56,29.51,33.67,30.0,8372.727272727272,22909.090909090908,24518.181818181816,-0.4400000000000013,-0.48999999999999844,3.6700000000000017
,1342.0,,,753.9325842696629,,,61.97,,64.0,,48251.68539325843,,,-2.030000000000001,
,1450.0,,,732.3232323232323,,,73.72,,74.0,,54191.919191919194,,,-0.28000000000000114,
389.0,1335.0,1281.0,185.23809523809524,635.7142857142857,610.0,79.45,79.47,75.45,80.0,14819.047619047618,50857.142857142855,48800.0,-0.5499999999999972,-0.5300000000000011,-4.549999999999997
131.0,401.0,389.0,68.94736842105263,211.05263157894737,204.73684210526318,71.62,69.87,56.97,70.0,4826.315789473684,14773.684210526317,14331.578947368422,1.6200000000000045,-0.12999999999999545,-13.030000000000001
429.0,1388.0,1345.0,204.28571428571428,660.952380952381,640.4761904761905,79.89,79.32,81.6,80.0,16342.857142857141,52876.19047619047,51238.09523809524,-0.10999999999999943,-0.6800000000000068,1.5999999999999943
286.0,843.0,941.0,150.5263157894737,443.68421052631584,495.2631578947369,68.15,70.76,72.08,70.0,10536.842105263158,31057.894736842107,34668.42105263158,-1.8499999999999943,0.7600000000000051,2.0799999999999983
264.0,759.0,832.0,155.2941176470588,446.4705882352941,489.4117647058823,59.21,59.32,62.19,60.0,9317.647058823528,26788.235294117647,29364.70588235294,-0.7899999999999991,-0.6799999999999997,2.1899999999999977
